Interval,Transfer,Bandwidth,Retr,Cwnd
199.00-200.00,14847836.16,14900000.0,0,502988.8
200.00-201.00,11492392.96,11500000.0,0,502988.8
201.00-202.00,14428405.76,14400000.0,0,502988.8
202.00-203.00,10569646.08,10600000.0,0,502988.8
203.00-204.00,0.00,0.00,2,11386.88
204.00-205.00,0.00,0.00,1,11386.88
205.00-206.00,7692288.0,7690000.0,14,422707.2
206.00-207.00,14428405.76,14400000.0,0,422707.2
207.00-208.00,9143582.72,9120000.0,0,422707.2
208.00-209.00,9143582.72,9140000.0,0,480051.2
209.00-210.00,8159232.0,8160000.0,0,480051.2
210.00-211.00,1441792.0,1440000.0,2,11386.88
211.00-212.00,0.00,0.00,1,11386.88
212.00-213.00,502988.8,503000.0,11,228556.8
213.00-214.00,8159232.0,8160000.0,0,376832.0
214.00-215.00,7675904.0,7680000.0,0,411238.4
215.00-216.00,7675904.0,7680000.0,0,457113.6
216.00-217.00,8640266.24,8640000.0,0,457113.6
217.00-218.00,4800512.0,4800000.0,0,457113.6
218.00-219.00,0.00,0.00,2,11386.88
219.00-220.00,0.00,0.00,1,11386.88
220.00-221.00,3858432.0,3860000.0,10,376832.0
221.00-222.00,6250496.0,6250000.0,0,422707.2
222.00-223.00,7675904.0,7680000.0,0,445644.8
223.00-224.00,6717440.0,6720000.0,0,445644.8
224.00-225.00,7692288.0,7690000.0,0,445644.8
225.00-226.00,958464.0,960000.0,2,11386.88
226.00-227.00,0.00,0.00,1,11386.88
227.00-228.00,0.00,0.00,10,308838.4
228.00-229.00,6463488.0,6470000.0,0,411238.4
229.00-230.00,6717440.0,6720000.0,0,434176.0
230.00-231.00,7200768.0,7200000.0,0,434176.0
231.00-232.00,10066329.6,10100000.0,0,445644.8
232.00-233.00,5758976.0,5760000.0,1,11386.88
233.00-234.00,0.00,0.00,1,11386.88
234.00-235.00,0.00,0.00,1,11386.88
235.00-236.00,3383296.0,3380000.0,10,376832.0
236.00-237.00,3842048.0,3840000.0,0,411238.4
237.00-238.00,6717440.0,6720000.0,0,445644.8
238.00-239.00,9563013.12,9600000.0,0,445644.8
239.00-240.00,5767168.0,5770000.0,0,445644.8
240.00-241.00,480051.2,480000.0,2,11386.88
241.00-242.00,0.00,0.00,0,11386.88
242.00-243.00,958464.0,960000.0,8,319488.0
243.00-244.00,9143582.72,9130000.0,0,411238.4
244.00-245.00,8159232.0,8160000.0,0,434176.0
245.00-246.00,7675904.0,7680000.0,0,445644.8
246.00-247.00,8640266.24,8660000.0,0,445644.8
247.00-248.00,5275648.0,5280000.0,1,11386.88
248.00-249.00,0.00,0.00,1,11386.88
249.00-250.00,0.00,0.00,1,11386.88
250.00-251.00,4956160.0,4960000.0,10,376832.0
251.00-252.00,10066329.6,10100000.0,0,422707.2
252.00-253.00,8200192.0,8199999.999999999,0,422707.2
253.00-254.00,11995709.44,12000000.0,0,445644.8
254.00-255.00,9143582.72,9120000.0,0,445644.8
255.00-256.00,0.00,0.00,2,11386.88
256.00-257.00,0.00,0.00,1,11386.88
257.00-258.00,1073152.0,1070000.0,10,330956.8
258.00-259.00,6717440.0,6720000.0,0,411238.4
259.00-260.00,10569646.08,10600000.0,0,422707.2
260.00-261.00,7700480.0,7700000.0,0,422707.2
261.00-262.00,8640266.24,8640000.0,0,445644.8
262.00-263.00,3842048.0,3840000.0,1,11386.88
263.00-264.00,0.00,0.00,1,11386.88
264.00-265.00,0.00,0.00,1,11386.88
265.00-266.00,9143582.72,9140000.0,24,411238.4
266.00-267.00,13002342.4,13000000.0,0,434176.0
267.00-268.00,11492392.96,11500000.0,0,434176.0
268.00-269.00,13925089.28,13900000.0,0,434176.0
269.00-270.00,13002342.4,13000000.0,0,434176.0
270.00-271.00,0.00,0.00,2,11386.88
271.00-272.00,0.00,0.00,1,11386.88
272.00-273.00,3465216.0,3460000.0,14,342425.6
273.00-274.00,14428405.76,14400000.0,0,422707.2
274.00-275.00,14428405.76,14400000.0,0,445644.8
275.00-276.00,14428405.76,14400000.0,0,445644.8
276.00-277.00,14931722.24,14900000.0,0,445644.8
277.00-278.00,5275648.0,5280000.0,1,11386.88
278.00-279.00,0.00,0.00,1,11386.88
279.00-280.00,0.00,0.00,1,11386.88
280.00-281.00,10066329.6,10100000.0,12,422707.2
281.00-282.00,14428405.76,14400000.0,0,434176.0
282.00-283.00,14847836.16,14900000.0,0,434176.0
283.00-284.00,15351152.64,15400000.0,0,434176.0
284.00-285.00,11072962.56,11000000.0,0,434176.0
285.00-286.00,0.00,0.00,2,11386.88
286.00-287.00,0.00,0.00,1,11386.88
287.00-288.00,3899392.0,3900000.0,16,353894.4
288.00-289.00,13925089.28,13900000.0,0,422707.2
289.00-290.00,12499025.92,12500000.0,0,434176.0
290.00-291.00,13505658.88,13500000.0,0,434176.0
291.00-292.00,12918456.32,13000000.0,0,434176.0
292.00-293.00,4317184.0,4320000.0,1,11386.88
293.00-294.00,0.00,0.00,1,11386.88
294.00-295.00,0.00,0.00,1,11386.88
295.00-296.00,9143582.72,9120000.0,13,411238.4
296.00-297.00,9646899.2,9620000.0,0,422707.2
297.00-298.00,11995709.44,12000000.0,0,434176.0
298.00-299.00,8167424.0,8170000.0,0,434176.0
299.00-300.00,11995709.44,12000000.0,0,434176.0
300.00-301.00,0.00,0.00,2,11386.88
301.00-302.00,0.00,0.00,1,11386.88
302.00-303.00,2924544.0,2920000.0,15,353894.4
303.00-304.00,13002342.4,13000000.0,0,422707.2
304.00-305.00,14847836.16,14900000.0,0,445644.8
305.00-306.00,13925089.28,13900000.0,0,445644.8
306.00-307.00,14428405.76,14400000.0,0,445644.8
307.00-308.00,3842048.0,3840000.0,1,11386.88
308.00-309.00,0.00,0.00,1,11386.88
309.00-310.00,0.00,0.00,1,11386.88
310.00-311.00,13002342.4,13000000.0,10,422707.2
311.00-312.00,13925089.28,13900000.0,0,445644.8
312.00-313.00,12918456.32,13000000.0,0,445644.8
313.00-314.00,13925089.28,13900000.0,0,445644.8
314.00-315.00,14847836.16,14900000.0,0,445644.8
315.00-316.00,14428405.76,14400000.0,0,445644.8
316.00-317.00,14428405.76,14400000.0,0,445644.8
317.00-318.00,14428405.76,14400000.0,0,445644.8
318.00-319.00,11995709.44,12000000.0,0,445644.8
319.00-320.00,11072962.56,11000000.0,0,445644.8
320.00-321.00,6307840.0,6310000.0,23,399769.6
321.00-322.00,13925089.28,13900000.0,0,422707.2
322.00-323.00,14931722.24,14900000.0,0,445644.8
323.00-324.00,13925089.28,13900000.0,0,445644.8
324.00-325.00,5783552.0,5780000.0,0,445644.8
325.00-326.00,3358720.0,3360000.0,1,11386.88
326.00-327.00,0.00,0.00,1,11386.88
327.00-328.00,0.00,0.00,1,11386.88
328.00-329.00,3842048.0,3840000.0,8,365363.2
329.00-330.00,7200768.0,7200000.0,0,422707.2
330.00-331.00,8640266.24,8640000.0,0,445644.8
331.00-332.00,10066329.6,10100000.0,0,445644.8
332.00-333.00,9563013.12,9600000.0,0,445644.8
333.00-334.00,0.00,0.00,2,11386.88
334.00-335.00,0.00,0.00,1,11386.88
335.00-336.00,1458176.0,1460000.0,12,330956.8
336.00-337.00,7675904.0,7680000.0,0,411238.4
337.00-338.00,9143582.72,9120000.0,0,434176.0
338.00-339.00,9143582.72,9140000.0,0,445644.8
339.00-340.00,7200768.0,7200000.0,0,445644.8
340.00-341.00,1933312.0,1930000.0,1,11386.88
341.00-342.00,0.00,0.00,1,11386.88
342.00-343.00,0.00,0.00,0,11386.88
343.00-344.00,1916928.0,1920000.0,15,365363.2
344.00-345.00,6234112.0,6240000.0,0,422707.2
345.00-346.00,11072962.56,11000000.0,0,434176.0
346.00-347.00,8640266.24,8660000.0,0,434176.0
347.00-348.00,7675904.0,7680000.0,0,445644.8
348.00-349.00,0.00,0.00,2,11386.88
349.00-350.00,0.00,0.00,1,11386.88
350.00-351.00,2424832.0,2420000.0,12,342425.6
351.00-352.00,8167424.0,8170000.0,0,422707.2
352.00-353.00,8640266.24,8660000.0,0,445644.8
353.00-354.00,10569646.08,10600000.0,0,445644.8
354.00-355.00,8159232.0,8160000.0,0,457113.6
355.00-356.00,3358720.0,3360000.0,1,11386.88
356.00-357.00,0.00,0.00,1,11386.88
357.00-358.00,0.00,0.00,1,11386.88
358.00-359.00,4685824.0,4680000.0,8,399769.6
359.00-360.00,8159232.0,8160000.0,0,422707.2
360.00-361.00,7200768.0,7200000.0,0,422707.2
361.00-362.00,8159232.0,8160000.0,0,422707.2
362.00-363.00,5758976.0,5760000.0,0,422707.2
363.00-364.00,0.00,0.00,2,11386.88
364.00-365.00,0.00,0.00,0,11386.88
365.00-366.00,2580480.0,2580000.0,4,330956.8
366.00-367.00,7700480.0,7700000.0,0,422707.2
367.00-368.00,7692288.0,7690000.0,0,434176.0
368.00-369.00,7200768.0,7200000.0,0,434176.0
369.00-370.00,6717440.0,6720000.0,0,434176.0
370.00-371.00,1449984.0,1450000.0,1,11386.88
371.00-372.00,0.00,0.00,1,11386.88
372.00-373.00,0.00,0.00,1,11386.88
373.00-374.00,3850240.0,3850000.0,12,376832.0
374.00-375.00,6258688.0,6260000.0,0,422707.2
375.00-376.00,6234112.0,6240000.0,0,422707.2
376.00-377.00,6250496.0,6250000.0,0,422707.2
377.00-378.00,5758976.0,5760000.0,0,422707.2
378.00-379.00,0.00,0.00,2,11386.88
379.00-380.00,0.00,0.00,1,11386.88
380.00-381.00,3358720.0,3360000.0,8,297369.6
381.00-382.00,7200768.0,7200000.0,0,411238.4
382.00-383.00,8159232.0,8160000.0,0,411238.4
383.00-384.00,8159232.0,8160000.0,0,422707.2
384.00-385.00,7200768.0,7200000.0,0,422707.2
385.00-386.00,1916928.0,1920000.0,1,11386.88
386.00-387.00,0.00,0.00,1,11386.88
387.00-388.00,0.00,0.00,1,11386.88
388.00-389.00,5758976.0,5760000.0,14,376832.0
389.00-390.00,6234112.0,6240000.0,0,411238.4
390.00-391.00,7675904.0,7680000.0,0,411238.4
391.00-392.00,8159232.0,8160000.0,0,422707.2
392.00-393.00,5758976.0,5760000.0,0,422707.2
393.00-394.00,0.00,0.00,2,11386.88
394.00-395.00,0.00,0.00,1,11386.88
395.00-396.00,2760704.0,2760000.0,7,342425.6
396.00-397.00,5275648.0,5280000.0,0,399769.6
397.00-398.00,7200768.0,7200000.0,0,422707.2
398.00-399.00,7675904.0,7680000.0,0,422707.2
399.00-400.00,10066329.6,10100000.0,0,422707.2
400.00-401.00,958464.0,960000.0,1,11386.88
401.00-402.00,0.00,0.00,1,11386.88
402.00-403.00,0.00,0.00,0,11386.88
403.00-404.00,5791744.0,5790000.0,30,376832.0
404.00-405.00,7675904.0,7680000.0,0,434176.0
405.00-406.00,11072962.56,11000000.0,0,434176.0
406.00-407.00,8192000.0,8189999.999999999,0,434176.0
407.00-408.00,6234112.0,6240000.0,0,445644.8
408.00-409.00,0.00,0.00,2,11386.88
409.00-410.00,0.00,0.00,1,11386.88
410.00-411.00,4489216.0,4490000.0,7,376832.0
411.00-412.00,7700480.0,7700000.0,0,422707.2
412.00-413.00,5758976.0,5760000.0,0,434176.0
413.00-414.00,6234112.0,6240000.0,0,434176.0
414.00-415.00,10066329.6,10100000.0,0,445644.8
415.00-416.00,958464.0,960000.0,1,11386.88
416.00-417.00,0.00,0.00,1,11386.88
417.00-418.00,0.00,0.00,1,445644.8
418.00-419.00,6750208.0,6750000.0,11,365363.2
419.00-420.00,2891776.0,2890000.0,0,411238.4
420.00-421.00,7200768.0,7200000.0,0,445644.8
421.00-422.00,5275648.0,5280000.0,0,445644.8
422.00-423.00,5275648.0,5280000.0,0,445644.8
423.00-424.00,0.00,0.00,1,11386.88
424.00-425.00,0.00,0.00,1,11386.88
425.00-426.00,958464.0,960000.0,32,330956.8
426.00-427.00,5758976.0,5760000.0,0,422707.2
427.00-428.00,7217152.0,7220000.0,0,434176.0
428.00-429.00,11072962.56,11000000.0,0,434176.0
429.00-430.00,10066329.6,10100000.0,0,445644.8
430.00-431.00,958464.0,960000.0,2,11386.88
431.00-432.00,0.00,0.00,1,11386.88
432.00-433.00,480051.2,480000.0,6,308838.4
433.00-434.00,8249344.0,8250000.0,0,411238.4
434.00-435.00,6234112.0,6240000.0,0,434176.0
435.00-436.00,7200768.0,7200000.0,0,434176.0
436.00-437.00,5758976.0,5760000.0,0,434176.0
437.00-438.00,3842048.0,3840000.0,0,445644.8
438.00-439.00,6234112.0,6240000.0,0,445644.8
439.00-440.00,9563013.12,9600000.0,0,445644.8
440.00-441.00,4800512.0,4800000.0,0,628326.4
441.00-442.00,6717440.0,6720000.0,0,628326.4
442.00-443.00,3842048.0,3840000.0,0,628326.4
443.00-444.00,1015808.0,1020000.0,11,445644.8
444.00-445.00,5758976.0,5760000.0,0,445644.8
445.00-446.00,5292032.0,5290000.0,0,445644.8
446.00-447.00,5275648.0,5280000.0,0,445644.8
447.00-448.00,1933312.0,1930000.0,0,445644.8
448.00-449.00,958464.0,960000.0,0,445644.8
449.00-450.00,0.00,0.00,2,11386.88
450.00-451.00,0.00,0.00,0,11386.88
451.00-452.00,8175616.0,8180000.0,4,411238.4
452.00-453.00,10569646.08,10600000.0,0,422707.2
453.00-454.00,10066329.6,10100000.0,0,422707.2
454.00-455.00,10066329.6,10100000.0,0,434176.0
